node_1,node_2
0,933
0,598
1,81
1,4
1,254
1,198
1,343
2,4
2,198
2,778
2,238
2,81
2,245
2,343
2,985
2,319
3,128
3,897
3,770
3,3
3,645
3,390
3,393
3,523
3,13
3,654
3,918
3,144
3,26
3,771
3,149
3,22
3,150
3,792
3,666
3,993
3,922
3,849
3,496
3,36
3,166
3,295
3,168
3,732
3,810
3,427
3,812
3,46
3,627
3,334
3,438
3,185
3,827
3,829
3,65
3,963
3,54
3,583
3,585
3,202
3,78
3,528
3,593
3,82
3,851
3,980
3,597
3,86
3,600
3,975
3,476
3,221
3,478
3,607
3,352
3,400
3,226
3,934
3,977
3,233
3,874
3,451
3,189
3,240
3,113
3,403
3,501
3,886
3,122
3,251
3,125
3,894
4,4
4,5
4,7
4,665
4,9
4,12
4,525
4,14
4,18
4,19
4,23
4,25
4,90
4,517
4,544
4,546
4,35
4,549
4,550
4,551
4,40
4,41
4,519
4,557
4,47
4,564
4,565
4,55
4,58
4,61
4,63
4,64
4,577
4,69
4,70
4,695
4,582
4,77
4,590
4,81
4,867
4,838
4,85
4,601
4,602
4,92
4,605
4,606
4,608
4,293
4,104
4,617
4,924
4,621
4,622
4,111
4,114
4,117
4,118
4,632
4,633
4,123
4,134
4,136
4,137
4,650
4,139
4,652
4,655
4,145
4,660
4,153
4,623
4,156
4,159
4,674
4,163
4,165
4,167
4,171
4,172
4,174
4,541
4,177
4,179
4,181
4,694
4,457
4,184
4,188
4,704
4,706
4,708
4,709
4,198
4,199
4,200
4,716
4,290
4,207
4,208
4,209
4,211
4,213
4,216
4,217
4,218
4,219
4,220
4,37
4,604
4,367
4,738
4,739
4,743
4,744
4,745
4,746
4,235
4,751
4,755
4,244
4,758
4,247
4,248
4,252
4,254
4,256
4,258
4,259
4,772
4,261
4,776
4,266
4,780
4,271
4,273
4,787
4,729
4,793
4,795
4,798
4,287
4,802
4,987
4,805
4,294
4,807
4,296
4,298
4,813
4,649
4,52
4,53
4,321
4,836
4,326
4,327
4,329
4,842
4,331
4,332
4,336
4,340
4,341
4,343
4,911
4,864
4,355
4,356
4,870
4,359
4,231
4,879
4,369
4,373
4,831
4,899
4,893
4,896
4,386
4,387
4,456
4,389
4,905
4,919
4,397
4,399
4,402
4,407
4,408
4,411
4,412
4,926
4,418
4,155
4,421
4,422
4,423
4,425
4,941
4,943
4,433
4,435
4,948
4,445
4,958
4,959
4,452
4,968
4,76
4,973
4,974
4,465
4,982
4,719
4,985
4,286
4,989
4,990
4,484
4,494
4,509
4,510
5,322
5,515
5,37
5,10
5,81
5,343
5,890
5,159
6,56
6,89
6,931
6,68
6,470
7,834
7,198
7,104
7,81
7,179
7,694
7,343
7,890
7,989
8,771
8,150
8,524
8,13
8,654
8,792
8,149
8,22
8,152
8,160
8,496
8,804
8,677
8,680
8,682
8,436
8,438
8,65
8,963
8,580
8,971
8,975
8,82
8,980
8,600
8,476
8,221
8,993
8,743
8,240
8,372
8,124
8,125
9,198
9,842
9,567
9,81
9,982
9,343
9,602
9,155
9,319
10,515
10,156
10,798
10,159
10,288
10,163
10,805
10,550
10,92
10,172
10,941
10,430
10,989
10,968
10,178
10,326
10,200
10,331
10,76
10,590
10,465
10,85
10,343
10,412
10,604
10,890
10,123
10,81
10,879
10,506
10,763
10,254
11,931
11,939
11,242
11,547
11,48
11,596
11,754
11,499
11,643
11,470
11,889
11,56
11,825
11,603
11,93
12,198
12,424
12,332
12,634
12,762
13,128
13,897
13,770
13,900
13,918
13,646
13,391
13,393
13,138
13,523
13,524
13,874
13,654
13,400
13,26
13,771
13,149
13,22
13,849
13,792
13,666
13,922
13,436
13,645
13,496
13,390
13,934
13,295
13,168
13,732
13,810
13,427
13,812
13,46
13,627
13,334
13,438
13,185
13,827
13,189
13,451
13,54
13,993
13,585
13,202
13,971
13,78
13,528
13,593
13,82
13,851
13,980
13,597
13,86
13,600
13,250
13,150
13,975
13,476
13,221
13,478
13,607
13,352
13,144
13,226
13,166
13,977
13,142
13,773
13,240
13,113
13,403
13,372
13,501
13,886
13,963
13,680
13,122
13,251
13,125
13,894
14,198
14,200
14,311
14,81
14,343
15,816
15,357
15,198
15,871
15,145
15,267
15,430
15,591
15,368
15,305
15,178
15,670
15,81
16,448
16,384
16,962
16,227
16,612
16,777
16,533
16,657
16,690
16,115
16,949
16,121
16,861
16,255
17,279
17,723
17,925
17,782
17,839
18,198
18,200
18,311
18,81
18,343
19,136
19,81
19,343
20,449
20,962
20,964
20,678
20,641
20,328
20,887
20,239
20,629
20,534
20,183
20,868
20,282
20,796
20,158
20,895
21,432
21,611
21,941
22,523
22,22
22,26
22,36
22,46
22,54
22,863
22,583
22,585
22,78
22,593
22,82
22,597
22,86
22,600
22,607
22,627
22,122
22,125
22,127
22,128
22,645
22,141
22,654
22,144
22,963
22,149
22,150
22,666
22,677
22,166
22,168
22,185
22,189
22,202
22,728
22,732
22,221
22,226
22,743
22,232
