from,to
0,1366
0,47
0,1201
1,1194
1,991
2,761
2,1559
2,1738
2,642
2,154
2,292
2,1622
2,813
2,155
2,1377
2,1040
2,1157
2,1239
2,127
2,389
2,1336
2,427
2,1801
2,603
2,94
2,565
2,666
2,525
2,310
2,361
2,1754
2,1162
2,1822
2,164
2,1099
2,1606
2,676
2,923
2,1936
2,1194
2,416
2,1167
2,1226
2,309
2,1227
2,439
2,1417
2,908
2,745
2,867
2,1428
2,1611
2,478
2,1325
2,1028
2,340
2,1911
2,1885
2,1091
2,1945
2,1667
2,53
2,692
2,1601
2,346
2,1234
2,1694
2,483
2,717
2,1769
2,1642
2,1542
2,47
2,1763
2,546
2,975
2,258
2,1066
2,449
2,1596
3,439
3,676
3,1774
3,218
3,908
3,155
3,249
3,923
3,906
3,1514
3,1451
3,127
3,1763
3,1611
3,1036
3,916
3,53
3,160
3,1465
3,1667
3,1458
4,439
4,843
4,1738
4,1162
4,42
4,674
4,642
4,142
4,933
4,1763
4,715
4,1643
4,183
4,964
5,1926
5,154
5,842
5,1535
5,1081
5,1599
5,1625
5,1190
5,955
5,301
5,1218
5,439
5,173
5,674
5,933
5,1451
5,1574
5,1575
5,240
5,404
5,908
5,17
5,171
5,142
5,1960
5,479
5,145
5,717
5,23
5,1554
5,1617
5,552
5,1763
5,180
5,546
5,1016
5,1768
6,1848
1004,1292
1004,676
1004,154
1004,726
1004,16
1004,933
1004,1315
1004,317
1004,1763
1004,82
1004,947
1004,1319
1004,1694
1004,1446
1004,1631
1004,430
8,292
8,1622
8,527
8,1040
8,1091
8,889
8,38
8,439
8,894
8,671
8,673
8,1194
8,1167
8,77
8,1468
8,618
8,478
8,340
8,1730
8,843
8,1699
8,182
8,1182
9,155
9,1611
9,1763
9,439
10,1834
10,525
10,277
10,155
10,47
10,1648
10,62
10,925
10,186
10,104
10,1967
10,521
10,1601
10,1337
10,1247
10,982
10,1218
10,1673
10,1271
10,580
10,672
10,641
10,1404
10,488
10,737
10,1747
10,276
10,1249
10,1108
10,1794
10,1223
10,272
10,56
10,1910
10,238
10,1682
10,1406
10,964
10,1597
10,336
10,1170
10,1865
10,370
10,142
10,1634
10,1563
10,539
10,997
10,258
10,1131
10,646
10,1014
10,376
10,593
10,1055
10,26
10,1527
10,916
10,968
10,1229
10,1058
10,815
10,1827
10,1081
10,1710
10,1513
10,1211
10,627
10,1061
10,1938
10,1333
10,412
10,1665
10,1500
10,1701
11,1859
11,154
11,155
11,1576
11,386
11,1564
11,1599
11,1743
11,907
11,955
11,1404
11,395
11,439
11,467
11,611
11,933
11,603
11,676
11,1667
11,1320
11,496
11,1105
11,906
11,275
11,1170
11,1111
11,1631
11,1611
11,1075
11,1040
11,340
11,1422
11,52
11,249
11,245
11,916
11,53
11,1034
11,451
11,1239
11,1036
11,1243
11,1438
11,1924
12,1895
12,842
12,527
12,1535
12,979
12,1040
12,1091
12,389
12,1336
12,1190
12,666
12,496
12,1674
12,695
12,326
12,1514
12,365
12,155
12,1572
12,434
12,1716
12,1226
12,1458
12,906
12,907
12,1519
12,16
12,337
12,1287
12,1494
12,373
12,245
12,1611
12,997
12,340
12,1422
12,1099
12,1383
12,620
12,1128
12,482
12,1732
12,1526
12,1957
12,379
12,923
12,347
12,946
12,1891
12,1263
12,1239
12,846
12,1304
12,1767
12,1213
12,999
12,27
12,1858
13,1895
13,1162
13,219
13,1040
13,1849
13,1263
13,1207
13,695
13,1480
13,167
13,1309
14,945
14,790
14,294
14,979
14,1462
14,261
14,1508
14,1336
14,1481
14,625
14,530
14,496
14,229
14,695
14,1446
14,1678
14,641
14,269
14,983
14,631
14,1303
14,1569
14,1451
14,1872
14,1320
14,712
14,1495
14,407
14,680
14,1458
14,309
14,1397
14,439
14,744
14,1379
14,442
14,410
14,1172
14,172
14,412
14,650
14,1611
14,82
14,1352
14,186
14,565
14,51
14,52
14,724
14,249
14,786
14,1232
14,245
14,482
14,54
14,969
14,1642
14,1616
14,379
14,1615
14,121
14,1856
14,1226
14,1763
14,735
14,178
14,113
14,1179
14,537
14,751
14,1465
14,1665
14,169
14,660
15,1576
15,154
16,1738
16,1859
16,1003
16,1744
16,527
16,1505
16,1140
16,1367
16,1008
16,389
16,1009
16,1246
16,1524
16,1247
16,638
16,1249
16,1250
16,1373
16,310
16,894
16,1512
16,1628
16,1513
16,1252
16,1746
16,136
16,643
16,274
16,907
16,409
16,1754
16,1468
16,1137
16,1371
16,1611
16,143
16,1039
16,145
16,653
16,24
16,915
16,786
16,1167
16,889
16,27
16,1642
16,1145
16,1763
16,285
16,1147
16,793
16,1227
